Country,Name,City
Canada,Calgary International,"Calgary	"
Canada,Edmonton City Centre,"Edmonton	"
Canada,Edmonton International,"Edmonton	"
Canada,Abbotsford International,Abbotsford International
Canada,"Fort St John	 	","Fort St John	 	"
Canada,"Kamloops	 	","Kamloops	 	"
Canada,"Vancouver International	 	","Vancouver International	 	"
Canada,"Victoria International	 	","Victoria International	 	"
Canada,"	Churchill	 	","	Churchill	 	"
Canada,"Winnipeg International	 	","Winnipeg International	 	"
Canada,"Fredericton International	 	","Fredericton International	 	"
Canada,"Greater Moncton International	 	","Greater Moncton International	 	"
Canada,"Gander International	 	","Gander International	 	"
Canada,"Goose Bay	 	","Goose Bay	 	"
Canada,"Stephenville	 	","Stephenville	 	"
Canada,"Wabush	 	","Wabush	 	"
Canada,"Halifax International	 	","Halifax International	 	"
Canada,"Sydney	 	","Sydney	 	"
Canada,"Fort Simpson	 	","Fort Simpson	 	"
Canada,"Fort Smith	 	","Fort Smith	 	"
Canada,"Inuvik Mike Zubko	 	","Inuvik Mike Zubko	 	"
Canada,"Iqaluit	 	","Iqaluit	 	"
Canada,"Yellowknife	 	","Yellowknife	 	"
Canada,"Dryden Regional	 	","Dryden Regional	 	"
Canada,"Hamilton International	 	","Hamilton International	 	"
Canada,"Sault Ste Marie	 	","Sault Ste Marie	 	"
Canada,"Thunder Bay International	 	","Thunder Bay International	 	"
Canada,"Timmins	 	","Timmins	 	"
Canada,"Toronto City Centre	 	","Toronto City Centre	 	"
Canada,"Ontario Pearson International	 	","Ontario Pearson International	 	"
Canada,"Waterloo International	 	","Waterloo International	 	"
Canada,"Windsor International	 	","Windsor International	 	"
Canada,"Charlottetown	 	","Charlottetown	 	"
Canada,"Bagotville	 	","Bagotville	 	"
Canada,"Baie-Comeau	 	","Baie-Comeau	 	"
Canada,"Quebec Jean Lesage International	 	",Quebec Jean Lesage
Canada,"Sept-Iles	 	","Sept-Iles	 	"
Canada,Val DOr Regional,"Val DOr Regional	 	"
Canada,"Whitehorse Erik Nielsen Int	 	","Whitehorse 	"
